"imei","source","package","os","language_group","language","country_group","country","first_token_trade_coin_pair","first_token_trade_chain_pair","first_nft_trade_token_title","first_connect_dapp","first_otc_fiat_code","airdrop_name","invite_code","red_packet_code","amt_usd","red_packet_amount","total_trade","version","red_packet_coin","red_packet_name","main_token_hold_usdt","future_total_trade","lately_login_ip","wallet_type","level_1_user_source","level_2_user_source","level_3_user_source","target","device_create_date"
"0017713d6bb603e5","unknown","com.bitkeep.wallet","android","not_main","id","南亚","印度尼西亚","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","114.79.19.198","0","其他","unknown","unknown","1","2024-05-12"
"0071702a60d4c000","unknown","com.bitkeep.w5","android","main","zh","中国","中国","null","null","null","smartmall.ai","null","null","null","null","40.6427913331","0","0","8.15.0","null","null","7.6706393976","0","62.72.181.40","0","其他","unknown","unknown","1","2024-05-12"
"008ff6ef3c985e67","unknown","com.bitkeep.wallet","android","main","en","南亚","孟加拉国","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","182.160.119.217","0","其他","unknown","unknown","1","2024-05-12"
"0099f28d851b710b","unknown","com.bitkeep.wallet","android","not_main","id","南亚","印度尼西亚","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","103.165.155.54","0","其他","unknown","unknown","1","2024-05-12"
"00a413e6c0cafb85","unknown","com.bitkeep.wallet","android","main","en","其他国家","尼日利亚","null","null","null","null","null","null","null","null","0","0","0","8.14.1","null","null","0","0","105.112.238.158","0","其他","unknown","unknown","0","2024-05-11"
"00aeb17f2df06a9b","unknown","com.bitkeep.wallet","android","main","zh","中国","香港","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","171.22.194.49","4","其他","unknown","unknown","1","2024-05-12"
"00c3ce93ca4adeeb","unknown","com.bitkeep.wallet","android","main","en","其他国家","坦桑尼亚","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","41.222.181.220","0","其他","unknown","unknown","0","2024-05-11"
"00de69301329e6a1","unknown","com.bitkeep.wallet","android","not_main","th","其他国家","泰国","null","null","null","share.bwb.site","null","第11期 - BWB积分持有者专属福利","null","null","0","0","0","8.15.0","null","null","0","0","184.22.148.127","4","运营活动","第11期 - BWB积分持有者专属福利","地址收集","1","2024-05-12"
"00e2bb7e6bf30b7b","asset_page","com.bitkeep.wallet","android","not_main","fr","其他国家","科特迪瓦","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","160.154.245.143","0","其他","unknown","unknown","0","2024-05-11"
"00e617e115f0168b","unknown","com.bitkeep.app","android","main","zh","中国","中国","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","58.254.236.83","0","邀请","channel package","invite2","1","2024-05-12"
"010aea0d93c71bc3","unknown","com.bitkeep.wallet","android","main","en","南亚","孟加拉国","null","null","null","null","null","null","null","null","0.0050256727","0","0","8.15.0","null","null","0.0050256727","0","114.31.16.38","0","其他","unknown","unknown","0","2024-05-11"
"010e8e7162c2b278","unknown","com.bitkeep.wallet","android","not_main","id","南亚","印度尼西亚","street-core","coredao-coredao","null","stake.coredao.org","null","GetDrop第1期- Social Media","NmMBqe","null","15.1427475878","0","2.364211","8.15.0","null","null","11.90173903","0","140.213.113.30","0","运营活动","GetDrop第1期- Social Media","地址收集","0","2024-05-11"
"012d11764df4e09c","unknown","com.bitkeep.wallet","android","main","en","南亚","巴基斯坦","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","182.183.164.159","4","其他","unknown","unknown","0","2024-05-11"
"018ce7d431cef5172b60b3ee2d290908","unknown","com.bitkeep.chrome","chrome","main","en","欧美","美国","null","null","null","null","null","null","null","null","0","0","0","1.4.2","null","null","0","0","161.123.151.250","0","其他","unknown","unknown","1","2024-05-12"
"019f35630943ef7a37ef8d112f5d4ffd","unknown","com.bitkeep.chrome","chrome","main","en","欧美","美国","null","null","null","null","null","null","null","null","0","0","0","1.4.2","null","null","0","0","161.123.215.54","0","其他","unknown","unknown","1","2024-05-12"
"01bc53665f17bc72de208bc4f13d4dea","unknown","com.bitkeep.chrome","chrome","main","en","欧美","美国","null","null","null","null","null","null","null","null","0","0","0","1.4.2","null","null","0","0","161.123.151.186","0","其他","unknown","unknown","1","2024-05-12"
"01dec80ef0cb9a7a","unknown","com.bitkeep.wallet","android","main","en","东亚","新加坡","usdt-matic","matic-matic","null","null","null","null","null","null","4.6E-9","0","11.4","8.13.0","null","null","4.6E-9","0","85.203.21.150","0","其他","unknown","unknown","0","2024-05-11"
"01e81119af411ead","unknown","com.bitkeep.wallet","android","main","en","其他国家","菲律宾","null","null","null","null","null","GetDrop第1期- Social Media","null","null","0","0","0","8.15.0","null","null","0","0","115.147.28.96","0","运营活动","GetDrop第1期- Social Media","地址收集","0","2024-05-11"
"020b407fdd9cb589","unknown","com.bitkeep.wallet","android","not_main","id","南亚","印度尼西亚","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","114.122.5.249","0","其他","unknown","unknown","0","2024-05-11"
"0252d2076e2edce2","unknown","com.bitkeep.wallet","android","main","en","南亚","孟加拉国","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","37.111.206.3","0","其他","unknown","unknown","0","2024-05-11"
